Q(A^-1),I(Q),I_err(Q)
8.950000000000000178e-01,1.548956539083873492e-02,4.426835436724736728e-03
9.000000000000000222e-01,1.534582000911565748e-02,4.305675107904931645e-03
9.050000000000000266e-01,1.483258876500216823e-02,4.230905629786549382e-03
9.100000000000000311e-01,1.450363040655736069e-02,4.164166594332997275e-03
9.150000000000000355e-01,1.527679222391350837e-02,4.123810464351115174e-03
9.200000000000000400e-01,1.479309377525559084e-02,4.090658607291625462e-03
9.250000000000000444e-01,1.515207206476130303e-02,4.014549215957138525e-03
9.300000000000000488e-01,1.505379290073397512e-02,3.955243034739232971e-03
9.350000000000000533e-01,1.528392245543140453e-02,3.919948882968492948e-03
9.399999999999999467e-01,1.436281494793884353e-02,3.894036022929378473e-03
9.449999999999999512e-01,1.401746841165115234e-02,3.847620400383359226e-03
9.499999999999999556e-01,1.425322358733147055e-02,3.819270799760712560e-03
9.549999999999999600e-01,1.384622017124217605e-02,3.775188450200810293e-03
9.599999999999999645e-01,1.465178815039113423e-02,3.757178182129431235e-03
9.649999999999999689e-01,1.358053429749893522e-02,3.739183486400731414e-03
9.699999999999999734e-01,1.397133855201653820e-02,3.720348550672679822e-03
9.749999999999999778e-01,1.335412247296387245e-02,3.697604399707607892e-03
9.799999999999999822e-01,1.420228164003704829e-02,3.665768948925906840e-03
9.849999999999999867e-01,1.333550445000321501e-02,3.628243025990853746e-03
9.899999999999999911e-01,1.365851101761509506e-02,3.628388648881846444e-03
9.949999999999999956e-01,1.284267944354592489e-02,3.581399372423706758e-03
1.000000000000000000e+00,1.304523030518125321e-02,3.607752767749946611e-03
1.004999999999999893e+00,1.237359349075978047e-02,3.565804174748674407e-03
1.010000000000000009e+00,1.220529513466737589e-02,3.570871074139785658e-03
1.014999999999999902e+00,1.212865223823240621e-02,3.573692663733384501e-03
1.020000000000000018e+00,1.254018327192367964e-02,3.589645743863258565e-03
1.024999999999999911e+00,1.292380994401180760e-02,3.590152594686232216e-03
1.030000000000000027e+00,1.238507346633983645e-02,3.580008076073385413e-03
1.034999999999999920e+00,1.307401592239299665e-02,3.577390553328741504e-03
1.040000000000000036e+00,1.223251065216220471e-02,3.578202293181501591e-03
1.044999999999999929e+00,1.323869159194769433e-02,3.602832993776190935e-03
1.050000000000000044e+00,1.327282321366681644e-02,3.636899032639372403e-03
1.054999999999999938e+00,1.276657951030690276e-02,3.576495472052280359e-03
1.060000000000000053e+00,1.274676240184608074e-02,3.590984401439786117e-03
1.064999999999999947e+00,1.276482654674715618e-02,3.602564609893000192e-03
1.070000000000000062e+00,1.230757362778170556e-02,3.609706083333566896e-03
1.074999999999999956e+00,1.262572447106596364e-02,3.649953830275636489e-03
1.080000000000000071e+00,1.199361867227709093e-02,3.620823610206525944e-03
1.084999999999999964e+00,1.133930142220474988e-02,3.861420733766187524e-03
1.090000000000000080e+00,1.217146591619542272e-02,3.987390670978861393e-03
1.094999999999999973e+00,1.199377469330289471e-02,3.889540066115864878e-03
1.100000000000000089e+00,1.206510884160218004e-02,3.871468061919921752e-03
