Q(A^-1),I(Q),I_err(Q)
2.200000000000000011e-01,6.159585000000000754e-02,3.073790490276295546e-03
2.220000000000000029e-01,5.774277599999999566e-02,3.041751897440554252e-03
2.240000000000000047e-01,5.877539100000001016e-02,3.024240476751115236e-03
2.260000000000000064e-01,5.590868900000001140e-02,2.980694637141370357e-03
2.280000000000000082e-01,5.788414499999999796e-02,2.940586016487820031e-03
2.300000000000000100e-01,5.360648000000001190e-02,2.944774210262476096e-03
2.320000000000000118e-01,5.182681799999999672e-02,2.932229601577369688e-03
2.340000000000000135e-01,5.310967899999996522e-02,3.008542466723664391e-03
2.359999999999999876e-01,5.223505900000002811e-02,3.065318714775633249e-03
2.379999999999999893e-01,5.200112500000003690e-02,3.086932297557944994e-03
2.399999999999999911e-01,4.944784899999998817e-02,3.109771529351617551e-03
2.419999999999999929e-01,5.144554299999998248e-02,3.115553277800272008e-03
2.439999999999999947e-01,5.142831100000000433e-02,3.109198472811035632e-03
2.459999999999999964e-01,4.536327200000001003e-02,3.017690319424198853e-03
2.479999999999999982e-01,4.676360400000001416e-02,3.006798491687788337e-03
2.500000000000000000e-01,4.856942100000000151e-02,3.001539318928728595e-03
2.520000000000000018e-01,4.695654999999998580e-02,2.975137371691484976e-03
2.540000000000000036e-01,4.718838499999999936e-02,2.901413466051358785e-03
2.560000000000000053e-01,4.509971699999998362e-02,2.876280575608967764e-03
2.580000000000000071e-01,4.464039400000002766e-02,2.824631391338427132e-03
2.600000000000000089e-01,4.404237799999999314e-02,2.826368807209446530e-03
2.620000000000000107e-01,4.473108999999997337e-02,2.775410001641163190e-03
2.640000000000000124e-01,4.419884099999998872e-02,2.770794208493703673e-03
2.660000000000000142e-01,4.456736900000002333e-02,2.748131120713916305e-03
2.680000000000000160e-01,4.286292400000002445e-02,2.744551345308568653e-03
2.700000000000000178e-01,4.312702299999998656e-02,2.713500008013053529e-03
2.720000000000000195e-01,4.118199799999999744e-02,2.692166909833889395e-03
2.740000000000000213e-01,3.994595700000003191e-02,2.653852913387353980e-03
2.760000000000000231e-01,4.140556900000003093e-02,2.626043841222770476e-03
2.780000000000000249e-01,4.029994999999997329e-02,2.615095221634792556e-03
2.800000000000000266e-01,4.066808999999999008e-02,2.608156416464638746e-03
2.819999999999999729e-01,4.098010900000004231e-02,2.614695358238380580e-03
2.839999999999999747e-01,3.885148499999996341e-02,2.650522924142613770e-03
2.859999999999999765e-01,3.974344000000001875e-02,2.669835905131836412e-03
2.879999999999999782e-01,3.511473500000000803e-02,2.613402904510902288e-03
2.899999999999999800e-01,3.673602400000003376e-02,2.597687404830120381e-03
2.919999999999999818e-01,3.685649800000001530e-02,2.561426869803370282e-03
2.939999999999999836e-01,3.488155100000001063e-02,2.562203385223553453e-03
2.959999999999999853e-01,3.749070999999998266e-02,2.530735071571390844e-03
2.979999999999999871e-01,3.799908499999998801e-02,2.537119024253707122e-03
2.999999999999999889e-01,3.660471300000001094e-02,2.113378910545332234e-03
3.039999999999999925e-01,3.529863599999999435e-02,1.780296928139295026e-03
3.079999999999999960e-01,3.360817300000001895e-02,1.747020935690897980e-03
3.119999999999999996e-01,3.355291099999996307e-02,1.735003378088813665e-03
3.160000000000000031e-01,3.538826600000000155e-02,1.715827539813915203e-03
3.200000000000000067e-01,3.315799499999999567e-02,1.735472213678974094e-03
3.240000000000000102e-01,3.210806799999998962e-02,1.700434845045246685e-03
3.280000000000000138e-01,3.132539400000000640e-02,1.682661412429408993e-03
3.320000000000000173e-01,3.040989600000004733e-02,1.655001154068636449e-03
3.360000000000000209e-01,3.091139799999997884e-02,1.645830749381945856e-03
3.400000000000000244e-01,3.052699100000000332e-02,1.623231931050005692e-03
3.439999999999999725e-01,2.962582699999999347e-02,1.611116741981591513e-03
3.479999999999999760e-01,2.827287099999997722e-02,1.599737808010871917e-03
3.519999999999999796e-01,2.852100200000001751e-02,1.598698026616443167e-03
3.559999999999999831e-01,2.655913100000001359e-02,1.659384590917580135e-03
3.599999999999999867e-01,2.731595900000000077e-02,1.687899294335409861e-03
3.639999999999999902e-01,2.725247599999996995e-02,1.704569968238793358e-03
3.679999999999999938e-01,2.504979099999998793e-02,1.677055269375553109e-03
3.719999999999999973e-01,2.611796799999999141e-02,1.630441724123422084e-03
3.760000000000000009e-01,2.491514200000000123e-02,1.622877367275122424e-03
3.800000000000000044e-01,2.394765799999998279e-02,1.621088969540795217e-03
3.840000000000000080e-01,2.310773799999998879e-02,1.610963183542514932e-03
3.880000000000000115e-01,2.293395600000003309e-02,1.624713292579240418e-03
3.920000000000000151e-01,2.266777800000002729e-02,1.644142344952379507e-03
3.960000000000000187e-01,2.076686799999999389e-02,1.637560329503695523e-03
4.000000000000000222e-01,2.087764300000000128e-02,1.638368553811192290e-03
4.040000000000000258e-01,2.018570400000002651e-02,1.633416114349659680e-03
4.079999999999999738e-01,1.924761799999996637e-02,1.622675547135179249e-03
4.119999999999999774e-01,1.793409699999998219e-02,1.606721605868081373e-03
4.159999999999999809e-01,1.965471800000001545e-02,1.582465497596531167e-03
4.199999999999999845e-01,1.873205599999999693e-02,1.572252954993057401e-03
4.239999999999999880e-01,2.027592700000002690e-02,1.591971458592769196e-03
4.279999999999999916e-01,1.889846299999997647e-02,1.600393625058436518e-03
4.319999999999999951e-01,1.746028300000002087e-02,1.612611636071268912e-03
4.359999999999999987e-01,1.689280800000003691e-02,1.610840252249548391e-03
4.400000000000000022e-01,1.818007100000001985e-02,1.605063655779547741e-03
4.440000000000000058e-01,1.618834600000002011e-02,1.594421225405251918e-03
4.480000000000000093e-01,1.783344700000000227e-02,1.604325641463473246e-03
4.520000000000000129e-01,1.880084400000003875e-02,1.608595757822730340e-03
4.560000000000000164e-01,1.653391700000000908e-02,1.603514424316508690e-03
4.600000000000000200e-01,1.742248600000001479e-02,1.607762435712771628e-03
4.640000000000000235e-01,1.676945600000001591e-02,1.611319447175241226e-03
4.680000000000000271e-01,1.708238700000003218e-02,1.617061397988703991e-03
4.719999999999999751e-01,1.776593400000003875e-02,1.622061941574059769e-03
4.759999999999999787e-01,1.832286999999999111e-02,1.645917475300973055e-03
4.799999999999999822e-01,2.076027099999999681e-02,1.733008276266085387e-03
4.839999999999999858e-01,2.261945700000000947e-02,1.794538789134554396e-03
4.879999999999999893e-01,2.240814400000001871e-02,1.798830531178305945e-03
4.919999999999999929e-01,2.169073999999998614e-02,1.729401213051003257e-03
4.959999999999999964e-01,2.079448100000003130e-02,1.709496960166432926e-03
5.000000000000000000e-01,2.037757400000000940e-02,1.690404769856381070e-03
5.040000000000000036e-01,2.026308799999998467e-02,1.692273521827036224e-03
5.080000000000000071e-01,2.085634400000002664e-02,1.687340114503519577e-03
5.120000000000000107e-01,1.935826000000001601e-02,1.695315947369463883e-03
5.160000000000000142e-01,1.980838200000001326e-02,1.696349212972418337e-03
5.200000000000000178e-01,1.999468500000001203e-02,1.694458151751698262e-03
5.240000000000000213e-01,2.064130499999999868e-02,1.690304791620530090e-03
5.280000000000000249e-01,2.078168499999999419e-02,1.685951560410581425e-03
5.320000000000000284e-01,2.188721199999998923e-02,1.684169535297026440e-03
5.360000000000000320e-01,2.103070799999995355e-02,1.697063616940417763e-03
5.400000000000000355e-01,2.119474599999998654e-02,1.696407359164654001e-03
5.440000000000000391e-01,2.254710300000001277e-02,1.773140798991310919e-03
5.480000000000000426e-01,2.369026800000001431e-02,1.744270780510892051e-03
5.520000000000000462e-01,2.005185999999997692e-02,1.732146040830071041e-03
5.560000000000000497e-01,2.318698299999999435e-02,1.710198046875694529e-03
5.600000000000000533e-01,2.380225099999999649e-02,1.687540511441768670e-03
5.639999999999999458e-01,2.317419200000003787e-02,1.689425820198376055e-03
5.679999999999999494e-01,2.435260099999997374e-02,1.694045843867635851e-03
5.719999999999999529e-01,2.341571700000000256e-02,1.691194684817985770e-03
5.759999999999999565e-01,2.508288400000002749e-02,1.689180924326830983e-03
5.799999999999999600e-01,2.602106599999998160e-02,1.696227548648993879e-03
5.839999999999999636e-01,2.437918500000002542e-02,1.697347589351625970e-03
5.879999999999999671e-01,2.326658600000003352e-02,1.698785825057180744e-03
5.919999999999999707e-01,2.645898299999999148e-02,1.702491934696938108e-03
5.959999999999999742e-01,2.494228600000003571e-02,1.695417604840752848e-03
5.999999999999999778e-01,2.677951800000000215e-02,1.792510872020250043e-03
6.039999999999999813e-01,3.349756500000000692e-02,1.894144258079069566e-03
6.079999999999999849e-01,3.009224799999998812e-02,1.963646386597197712e-03
6.119999999999999885e-01,2.982422200000001133e-02,1.882313817941148448e-03
6.159999999999999920e-01,2.990801499999995450e-02,1.819500919145123448e-03
6.199999999999999956e-01,2.884161099999998923e-02,1.802121719940699782e-03
6.239999999999999991e-01,2.839280899999996333e-02,1.793932481261544757e-03
6.280000000000000027e-01,3.002046799999996685e-02,1.797103467247740480e-03
6.320000000000000062e-01,2.943132799999997884e-02,1.791101638809670113e-03
6.360000000000000098e-01,2.891970199999999158e-02,1.789806889253631791e-03
6.400000000000000133e-01,3.029222499999995044e-02,1.770478235637430384e-03
6.440000000000000169e-01,3.055253699999999073e-02,1.746450334233182666e-03
6.480000000000000204e-01,3.133525599999997802e-02,1.741628924704388638e-03
6.520000000000000240e-01,3.043960300000003727e-02,1.743830514390886256e-03
6.560000000000000275e-01,3.003854699999997102e-02,1.740242418760121115e-03
6.600000000000000311e-01,3.165565600000003199e-02,1.745008921276573408e-03
6.640000000000000346e-01,3.234702200000000305e-02,1.822406197013108240e-03
6.680000000000000382e-01,3.484542200000001477e-02,1.804678363406689388e-03
6.720000000000000417e-01,3.057416899999998439e-02,1.783441765075143189e-03
6.760000000000000453e-01,3.270236100000001311e-02,1.783161232670544194e-03
6.800000000000000488e-01,3.066878200000000554e-02,1.767306762737665951e-03
6.840000000000000524e-01,3.455358199999997160e-02,1.772175199473802025e-03
6.879999999999999449e-01,3.307079900000003958e-02,1.762686444035154853e-03
6.919999999999999485e-01,3.335256100000000279e-02,1.762397343727005157e-03
6.959999999999999520e-01,3.453850600000002435e-02,1.758360488316722606e-03
6.999999999999999556e-01,3.378882199999999614e-02,1.756003786908695444e-03
7.039999999999999591e-01,3.379414500000005317e-02,1.760015423187247805e-03
7.079999999999999627e-01,3.316599000000003405e-02,1.761846305349673786e-03
7.119999999999999662e-01,3.466535400000003708e-02,1.763710076964202737e-03
7.159999999999999698e-01,3.506965899999997527e-02,1.762678377723797063e-03
7.199999999999999734e-01,3.677182699999997917e-02,1.847817572760034792e-03
7.239999999999999769e-01,3.504049599999997655e-02,1.986840994624312733e-03
7.279999999999999805e-01,3.803629000000002813e-02,2.083758260299422432e-03
7.319999999999999840e-01,3.501366599999999885e-02,2.015930698797748812e-03
7.359999999999999876e-01,3.566647499999997528e-02,1.900085339394332875e-03
7.399999999999999911e-01,3.849299499999997431e-02,1.855100753365972622e-03
7.439999999999999947e-01,3.649741299999997857e-02,1.836066526441514643e-03
7.479999999999999982e-01,3.497815700000000971e-02,1.836780695600025159e-03
7.520000000000000018e-01,3.606238900000002801e-02,1.819045129117733686e-03
7.560000000000000053e-01,3.457415499999999531e-02,1.822782367254479003e-03
7.600000000000000089e-01,3.594196799999999081e-02,1.818443499909833463e-03
7.640000000000000124e-01,3.420283299999998805e-02,1.815645989055584024e-03
7.680000000000000160e-01,3.644900000000000917e-02,1.812410560743108823e-03
7.720000000000000195e-01,3.345715000000004657e-02,1.815146370996420337e-03
7.760000000000000231e-01,3.570011100000003434e-02,1.814086907400889580e-03
7.800000000000000266e-01,3.537826199999999366e-02,1.816201476813782394e-03
7.840000000000000302e-01,3.513358599999999443e-02,1.872955409787889535e-03
7.880000000000000338e-01,3.574436899999999806e-02,1.890121678936666251e-03
7.920000000000000373e-01,3.496759900000001586e-02,1.846361507288310673e-03
7.960000000000000409e-01,3.489548000000003425e-02,1.831804078204650466e-03
8.000000000000000444e-01,3.293610899999999120e-02,1.830557072801362178e-03
8.040000000000000480e-01,3.576987599999997824e-02,1.825817771451444804e-03
8.080000000000000515e-01,3.321102900000000302e-02,1.824269371746837847e-03
8.120000000000000551e-01,3.231750300000002518e-02,1.823420325881389007e-03
8.159999999999999476e-01,3.196252399999999216e-02,1.821753035236193478e-03
8.199999999999999512e-01,3.332230299999999756e-02,1.818164744480764081e-03
8.199999999999999512e-01,3.250136250395244814e-02,1.187904744695173279e-02
8.239999999999999547e-01,3.337751100000002635e-02,1.812618722198500653e-03
8.249999999999999556e-01,3.418798318490311877e-02,6.575233126850031119e-03
8.279999999999999583e-01,3.250863500000000794e-02,1.821713127642205594e-03
8.299999999999999600e-01,3.419591500529996914e-02,5.653355855450825293e-03
8.319999999999999618e-01,3.210759700000004324e-02,1.813689520843905821e-03
8.349999999999999645e-01,3.301294445430062729e-02,5.271747964042513591e-03
8.359999999999999654e-01,3.137881999999997396e-02,1.799213072762128815e-03
8.399999999999999689e-01,3.224357826609085265e-02,4.928084886420748545e-03
8.399999999999999689e-01,3.138727200000002160e-02,1.876815204669696115e-03
8.439999999999999725e-01,3.272387299999995891e-02,2.059865296150141436e-03
8.449999999999999734e-01,3.147192366833437976e-02,4.688983618439297903e-03
8.479999999999999760e-01,3.145902200000000315e-02,2.207678189799195268e-03
8.499999999999999778e-01,3.076391859085333969e-02,4.377791664011626734e-03
8.519999999999999796e-01,3.017140700000003894e-02,2.347865663104119118e-03
8.549999999999999822e-01,3.116700274164424522e-02,4.234322785008824003e-03
8.559999999999999831e-01,3.374931600000002918e-02,2.543232129885084764e-03
8.599999999999999867e-01,3.200493600000003935e-02,2.738479736319361646e-03
8.599999999999999867e-01,3.024775594825745637e-02,4.077702583281568767e-03
8.649999999999999911e-01,3.170653814685137073e-02,3.993654192748890761e-03
8.699999999999999956e-01,2.998770926347765070e-02,3.895927932062625415e-03
8.750000000000000000e-01,2.910184528779629493e-02,3.725577186648782249e-03
8.800000000000000044e-01,2.910855111739180101e-02,3.673725357663321783e-03
8.850000000000000089e-01,2.795910449185850730e-02,3.612942860170072386e-03
8.900000000000000133e-01,2.813785036740392917e-02,3.547715349362251698e-03
8.950000000000000178e-01,2.771716880198244956e-02,3.527583857243269793e-03
9.000000000000000222e-01,2.842363293873937519e-02,3.425477362717115580e-03
9.050000000000000266e-01,2.782226579706199507e-02,3.368277767621047272e-03
9.100000000000000311e-01,2.700963300088589022e-02,3.328009552181389850e-03
9.150000000000000355e-01,2.754699294272621585e-02,3.288226928494679575e-03
9.200000000000000400e-01,2.686775405782532503e-02,3.272312577423161679e-03
9.250000000000000444e-01,2.629244749798258229e-02,3.184004745725737499e-03
9.300000000000000488e-01,2.629360299737388412e-02,3.143684268230289864e-03
9.350000000000000533e-01,2.587392282977487440e-02,3.120228200615439689e-03
9.399999999999999467e-01,2.554111316738632426e-02,3.094070715666866461e-03
9.449999999999999512e-01,2.587636404150957595e-02,3.065295316880254674e-03
9.499999999999999556e-01,2.494831744133136492e-02,3.039070382115021968e-03
9.549999999999999600e-01,2.557822230945558384e-02,3.010599843475661799e-03
9.599999999999999645e-01,2.465860576725836459e-02,2.982998792252334209e-03
9.649999999999999689e-01,2.485666978748686182e-02,2.977011560411509626e-03
9.699999999999999734e-01,2.435743640290585765e-02,2.952961027825175364e-03
9.749999999999999778e-01,2.386101727729821390e-02,2.945259045978639717e-03
9.799999999999999822e-01,2.398973361748960031e-02,2.912444250655155630e-03
9.849999999999999867e-01,2.420748763021141059e-02,2.886659973917161080e-03
9.899999999999999911e-01,2.375000924889368939e-02,2.884894028814485346e-03
9.949999999999999956e-01,2.334616416069817610e-02,2.854623805220740489e-03
1.000000000000000000e+00,2.344835284162265915e-02,2.866914003865325515e-03
